ZipCode,Income
90001,34050
90002,30214
90003,30016
90004,38493
90005,31214
90006,31403
90007,22646
90008,36180
90010,47308
90011,29889
90012,29492
90013,21120
90014,17134
90015,28953
90016,38050
90017,21009
90018,32104
90019,43244
90020,37121
90021,12748
90023,37082
90024,59125
90025,71278
90026,46435
90027,50316
90028,31742
90029,35253
90031,34656
90032,45208
90033,27190
90034,56743
90035,75327
90036,71049
90037,26638
90038,33850
90039,67170
90041,64545
90042,51427
90043,38738
90044,28344
90045,78082
90046,56337
90047,40528
90048,72913
90049,116732
90056,76688
90057,26940
90058,15988
90059,33678
90061,34566
90062,32067
90063,39206
90064,86573
90065,52794
90066,68346
90067,89500
90068,73373
90069,78607
90071,0
90073,0
90077,172443
90079,0
90089,10625
90090,0
90094,96010
90095,0
90210,138750
90211,69942
90212,84516
90230,73786
90232,71316
90245,84004
90247,42968
90248,51956
90250,45766
90262,42057
90265,124814
90272,157938
90275,120742
90290,106750
90291,81025
90292,103319
90293,84588
90301,37813
90302,41187
90303,40807
90304,36778
90305,62558
90402,131607
90403,72366
90404,65035
90405,78756
90501,59878
90502,62533
90504,75180
90710,54630
90717,56245
90731,49786
90732,84537
90744,41578
90745,71757
90802,44984
90810,49087
90813,31215
91011,152210
91030,80479
91040,70830
91042,57640
91105,108882
91201,50526
91204,39753
91205,37414
91206,52077
91214,89849
91302,121715
91303,46187
91304,58361
91306,60959
91307,98655
91311,80279
91316,62016
91321,57654
91324,58993
91325,57883
91326,98831
91330,0
91331,51345
91335,51398
91340,55217
91342,60899
91343,55238
91344,77247
91345,60148
91352,49088
91356,69148
91364,93919
91367,77152
91371,0
91401,48994
91402,39009
91403,75334
91405,38162
91406,50381
91411,43758
91423,75671
91436,128060
91501,62500
91504,71296
91505,77679
91506,70408
91601,47202
91602,63544
91604,90528
91605,43707
91606,42195
91607,52274
91608,0
91754,56767
91801,51225
91803,56632
93063,83974