ZipCode,Population
90001,56314
90002,50098
90003,66913
90004,63547
90005,38638
90006,61419
90007,43779
90008,33012
90010,3792
90011,102926
90012,30029
90013,10575
90014,6659
90015,18226
90016,47786
90017,23719
90018,48852
90019,67606
90020,39102
90021,2913
90023,45886
90024,50117
90025,45284
90026,67986
90027,46025
90028,29994
90029,40161
90031,39333
90032,47309
90033,48567
90034,58968
90035,31399
90036,36425
90037,61536
90038,28798
90039,27843
90041,28439
90042,61034
90043,43118
90044,88412
90045,41453
90046,51329
90047,46999
90048,22409
90049,35262
90056,8380
90057,45747
90058,2748
90059,42470
90061,28641
90062,32675
90063,54353
90064,25788
90065,46254
90066,58337
90067,2364
90068,21943
90069,20426
90071,0
90073,801
90077,8328
90079,0
90089,3326
90090,0
90094,6062
90095,0
90210,21478
90211,8080
90212,12415
90230,33090
90232,15353
90245,16839
90247,47374
90248,9936
90250,95223
90262,70650
90265,17660
90272,23497
90275,42420
90290,6902
90291,27803
90292,21507
90293,11997
90301,36714
90302,30219
90303,26453
90304,26936
90305,15501
90402,11503
90403,25116
90404,21641
90405,28535
90501,43407
90502,17135
90504,32777
90710,27550
90717,21612
90731,62348
90732,19810
90744,58061
90745,57727
90802,38816
90810,36736
90813,60017
91011,20671
91030,25914
91040,20017
91042,28126
91105,11373
91201,22985
91204,16292
91205,38138
91206,33706
91214,31078
91302,25165
91303,27827
91304,53517
91306,48707
91307,25597
91311,37769
91316,28190
91321,34576
91324,29178
91325,32823
91326,36024
91330,2708
91331,102367
91335,77952
91340,35455
91342,91701
91343,61976
91344,53165
91345,18196
91352,46874
91356,29847
91364,26975
91367,42029
91371,0
91401,40503
91402,70781
91403,24353
91405,53406
91406,53528
91411,24146
91423,32130
91436,14563
91501,19829
91504,25544
91505,31133
91506,18428
91601,38781
91602,18315
91604,29072
91605,56060
91606,45467
91607,29591
91608,0
91754,33622
91801,53792
91803,30586
93063,56687