geoid,name,B06011000.5,"B06011000.5, Error",B06011001,"B06011001, Error",B06011002,"B06011002, Error",B06011003,"B06011003, Error",B06011004,"B06011004, Error",B06011005,"B06011005, Error",,
16000US0644000,"Los Angeles, CA",,,22918,159,23690,341,36711,470,30072,2400,19451,158,,#NAME?
86000US90001,90001,,,16295,569,14544,1323,14540,2262,26103,8542,16728,492,,
86000US90002,90002,,,15495,609,12429,866,14030,2323,21912,34943,17222,678,,
86000US90003,90003,,,15333,382,12341,721,14705,1101,20750,14283,16335,404,,
86000US90004,90004,,,20820,610,19410,2123,36509,4284,20104,15737,19109,750,,
86000US90005,90005,,,17163,346,20897,2305,27289,4191,34821,27962,16418,318,,
86000US90006,90006,,,16128,174,15757,609,17160,2667,16111,2571,16151,197,,
86000US90007,90007,,,12679,555,10412,781,10051,1897,3355,2324,15325,760,,
86000US90008,90008,,,22228,1845,21234,2845,27283,3574,18625,15524,16966,1549,,
86000US90010,90010,,,31675,5987,44429,23437,39569,12587,0,0,25516,6255,,
86000US90011,90011,,,15239,260,14824,975,13791,1687,11500,4840,15362,248,,
86000US90012,90012,,,15325,854,16234,2786,27569,7001,11875,3313,12898,1156,,
86000US90013,90013,,,14416,2390,13405,2330,17438,4712,10403,6001,14479,4984,,
86000US90014,90014,,,17269,4735,15597,4721,27922,7281,120129,223303,12267,2462,,
86000US90015,90015,,,17312,1121,21752,6242,34351,10215,49219,41791,15532,840,,
86000US90016,90016,,,20122,951,19728,1508,27716,2906,19537,5640,18006,1077,,
86000US90017,90017,,,15632,807,21410,4080,23669,3243,27031,9058,14091,818,,
86000US90018,90018,,,17239,723,17272,1576,20755,2000,21250,18287,16558,696,,
86000US90019,90019,,,21532,817,27737,3764,31802,3005,35921,19089,18011,770,,
86000US90020,90020,,,21227,886,20741,2085,30217,5615,28696,14412,20186,1208,,
86000US90021,90021,,,12156,713,12062,2362,11872,1658,11591,10614,12886,2770,,
86000US90023,90023,,,16659,541,16700,1529,20475,7944,26250,14207,16567,532,,
86000US90024,90024,,,16956,2559,7100,802,40057,3993,15777,18523,31095,5069,,
86000US90025,90025,,,40631,2380,46626,4231,50591,2311,35273,20944,25475,3419,,
86000US90026,90026,,,22865,1128,25348,1711,41261,3933,22750,15553,18405,1135,,
86000US90027,90027,,,27546,2206,32603,3644,40051,2644,46094,12897,19353,1784,,
86000US90028,90028,,,21259,1202,22321,4309,31338,2411,30074,22294,16918,1959,,
86000US90029,90029,,,18407,1256,19332,3109,30285,2294,14219,28925,16545,708,,
86000US90031,90031,,,15871,829,18800,2285,21328,5121,31750,9002,14282,1021,,
86000US90032,90032,,,19309,960,19560,1393,27464,4606,13611,7597,17903,1188,,
86000US90033,90033,,,15022,504,13678,1452,16747,4260,13182,6087,15333,622,,
86000US90034,90034,,,33629,1873,35025,4649,42867,2354,29018,6889,26884,1707,,
86000US90035,90035,,,37776,2317,39563,5258,37845,3709,50929,11703,35197,3859,,
86000US90036,90036,,,44887,2874,40055,4735,49852,3963,46032,11090,42206,6069,,
86000US90037,90037,,,15440,438,13761,1397,14396,1857,8313,3619,15841,411,,
86000US90038,90038,,,20135,1191,21648,2572,31133,4279,31148,7212,17080,1196,,
86000US90039,90039,,,34831,2131,34724,2640,51537,3811,64659,29977,25739,1383,,
86000US90041,90041,,,26105,2501,27377,3115,37441,8300,25583,14206,22648,2776,,
86000US90042,90042,,,22418,952,22837,2167,36122,5110,26458,11727,20355,1047,,
86000US90043,90043,,,21075,1334,21681,2496,22911,2467,29038,59545,18997,1127,,
86000US90044,90044,,,16537,410,16413,1030,16258,1368,23750,30099,16648,508,,
86000US90045,90045,,,37156,3602,28129,3445,47153,3649,41071,46640,37197,4899,,
86000US90046,90046,,,38518,2429,41786,2538,45054,3383,43409,34304,25540,4596,,
86000US90047,90047,,,21211,990,20188,1915,23408,1910,65336,96812,20516,1401,,
86000US90048,90048,,,48605,4440,51105,5354,52834,4081,55553,11242,34841,4351,,
86000US90049,90049,,,61485,4098,52278,2569,79052,6219,50833,60812,57760,9103,,
86000US90056,90056,,,44717,9021,41695,9208,51750,5463,38618,219650,29884,22968,,
86000US90057,90057,,,15997,221,16809,1844,16477,3751,15765,1606,15941,230,,
86000US90058,90058,,,12324,1930,13616,5267,11360,2028,0,0,12288,2851,,
86000US90059,90059,,,15507,726,13163,1379,15190,1750,14118,12146,16780,659,,
86000US90061,90061,,,15932,910,12790,1275,21500,1611,0,0,16955,1080,,
86000US90062,90062,,,15653,670,12323,1206,16862,2261,13988,3403,16621,653,,
86000US90063,90063,,,16970,615,18459,1167,24030,4767,11514,1764,16169,780,,
86000US90064,90064,,,42940,2965,40556,5993,56094,8153,16207,36487,31883,4700,,
86000US90065,90065,,,22638,1311,25160,2920,37552,7144,31655,9293,18488,1425,,
86000US90066,90066,,,36258,1266,36011,1961,47237,3093,41780,17163,27665,2562,,
86000US90067,90067,,,63733,5416,63301,23994,92546,50801,0,0,61316,21858,,
86000US90068,90068,,,50272,4161,43949,6468,49906,6286,85987,42609,52597,4306,,
86000US90069,90069,,,51183,4575,51987,9954,53950,6163,72115,43009,36223,9785,,
86000US90071,90071,,,0,0,0,0,0,0,0,0,0,0,,
86000US90073,90073,,,11618,1930,12404,6791,12188,6223,0,0,10638,8012,,
86000US90077,90077,,,75404,12234,55724,10852,85088,10370,155139,291901,76713,20360,,
86000US90079,90079,,,0,0,0,0,0,0,0,0,0,0,,
86000US90089,90089,,,3309,1175,3354,935,2793,1756,2499,0,4702,8737,,
86000US90090,90090,,,0,0,0,0,0,0,0,0,0,0,,
86000US90094,90094,,,66707,13058,64016,13563,73125,17007,0,0,60964,26931,,
86000US90095,90095,,,0,0,0,0,0,0,0,0,0,0,,
86000US90210,90210,,,48321,5383,32240,6964,75504,19389,68750,35389,46966,10191,,
86000US90211,90211,,,49150,5578,40950,13431,56467,11250,52188,69101,48996,14384,,
86000US90212,90212,,,50613,5753,48820,12437,52486,5666,152727,161118,49081,10482,,
86000US90230,90230,,,35388,2976,31932,5106,60208,8011,17375,37922,24756,2795,,
86000US90232,90232,,,42001,3343,43119,6662,51004,5476,52951,14463,33263,8158,,
86000US90245,90245,,,44136,4623,41276,4422,52151,6929,29250,38357,40893,14889,,
86000US90247,90247,,,22981,1413,25824,1402,26293,1680,25536,1722,19960,1346,,
86000US90248,90248,,,26337,1711,30404,2826,26926,8634,35139,26820,21845,3951,,
86000US90250,90250,,,25290,769,26097,1181,32341,3654,46528,30992,22790,1180,,
86000US90262,90262,,,17292,517,15779,1172,20447,3081,41250,42131,17731,970,,
86000US90265,90265,,,56083,8248,57064,17626,59594,8884,49239,21751,54598,12842,,
86000US90272,90272,,,69602,6008,63352,9507,92500,14313,56125,59811,57568,7342,,
86000US90275,90275,,,53564,2526,49911,4247,54553,4530,76324,36235,58955,5520,,
86000US90290,90290,,,50496,7451,45661,9988,53060,7173,14135,706,63525,13743,,
86000US90291,90291,,,47068,3585,41689,2798,60681,6485,52955,44076,28924,4031,,
86000US90292,90292,,,63516,4729,51705,5600,74653,8129,61165,37466,62124,10829,,
86000US90293,90293,,,53733,4397,48352,4624,62456,6091,58869,59403,54722,13565,,
86000US90301,90301,,,20336,1107,21606,1444,19675,3886,25735,23715,19420,1344,,
86000US90302,90302,,,23578,1746,22713,2009,35039,5406,18417,13979,21033,1341,,
86000US90303,90303,,,19470,1357,19482,2113,24795,3316,39023,6547,17379,1335,,
86000US90304,90304,,,17110,810,15910,1304,22034,5901,36034,14001,17263,1112,,
86000US90305,90305,,,31713,3330,31036,1965,36746,4838,21667,29201,17694,11302,,
86000US90402,90402,,,64156,12660,52731,7824,83375,9407,88320,83427,62647,37957,,
86000US90403,90403,,,50095,2941,50298,6845,54022,4745,24828,21082,41250,9536,,
86000US90404,90404,,,35026,3752,35657,7664,44706,5050,78472,33346,22547,4101,,
86000US90405,90405,,,45249,4000,39956,6189,55105,7625,42432,25137,31898,8934,,
86000US90501,90501,,,27088,1158,27066,1925,41855,13529,20882,11276,24540,2561,,
86000US90502,90502,,,28266,2224,25933,4256,31382,7383,27115,33672,28907,3556,,
86000US90504,90504,,,31268,2120,31445,2831,37723,7966,37065,19357,27292,4725,,
86000US90710,90710,,,24545,1457,25272,2645,29856,5553,32917,19227,21890,1204,,
86000US90717,90717,,,28625,2601,28583,4171,32043,3443,19292,42063,26423,4721,,
86000US90731,90731,,,24941,1289,24789,1798,34944,2397,18317,15850,21171,1674,,
86000US90732,90732,,,39509,2913,42054,3393,50074,8934,60625,62190,27418,5854,,
86000US90744,90744,,,19067,714,20104,1322,22222,2426,25000,6331,18037,728,,
86000US90745,90745,,,24401,1250,22064,1772,32763,5494,25809,7281,24947,1490,,
86000US90802,90802,,,28029,2251,26451,2281,35426,4596,26705,58257,25736,3104,,
86000US90810,90810,,,20356,1213,18929,1744,20298,3604,28785,7012,21107,1351,,
86000US90813,90813,,,16184,717,16167,1394,19462,1405,28272,12790,15481,819,,
86000US91011,91011,,,60159,4415,50521,4145,78594,12840,50824,5107,61615,6518,,
86000US91030,91030,,,47697,3993,48349,5078,52277,5534,50104,34586,41824,4028,,
86000US91040,91040,,,31613,2463,31446,3652,33698,5960,18125,26367,30890,4356,,
86000US91042,91042,,,26415,2161,29208,3920,36325,9167,45475,19375,20946,3451,,
86000US91105,91105,,,60115,6865,55446,10628,72146,10001,61953,46619,46274,10663,,
86000US91201,91201,,,21384,1486,29362,3360,43761,4219,80431,79097,17070,1964,,
86000US91204,91204,,,16611,1402,18213,2369,29551,16961,23750,27375,15368,1506,,
86000US91205,91205,,,17075,1294,20940,1510,31844,5008,45880,16769,14229,1367,,
86000US91206,91206,,,23750,2491,33355,6502,36424,4727,28432,13679,18767,2661,,
86000US91214,91214,,,42578,3441,44844,5353,45176,3859,82763,24265,38883,4354,,
86000US91302,91302,,,52538,3548,49596,5223,51300,8438,32000,101988,65086,11178,,
86000US91303,91303,,,23466,1395,25694,2524,34072,4908,14375,15804,21356,1140,,
86000US91304,91304,,,25827,759,28228,2742,34054,3607,32269,35373,21860,1848,,
86000US91306,91306,,,22309,1108,23328,2620,29973,3362,32051,18313,20738,1310,,
86000US91307,91307,,,40362,3838,35930,6737,44224,7713,61406,23305,40240,5349,,
86000US91311,91311,,,32432,1648,33886,2947,40530,4397,41071,31272,27540,3190,,
86000US91316,91316,,,35633,3331,39393,5629,41556,4712,68313,31586,27324,5898,,
86000US91321,91321,,,24919,1436,28377,2461,27066,2502,29565,11834,19494,2305,,
86000US91324,91324,,,25904,2065,28398,3978,34421,4312,17361,6199,22932,2110,,
86000US91325,91325,,,29086,2814,27056,3516,38154,3621,31683,9805,25291,3371,,
86000US91326,91326,,,39664,2432,37972,3170,50655,5061,28882,14654,38227,3387,,
86000US91330,91330,,,2870,865,2499,0,4292,1210,4250,65019,4583,3455,,
86000US91331,91331,,,18932,704,18792,1814,18000,2125,19231,10272,19083,798,,
86000US91335,91335,,,22834,1073,21901,1688,34301,4576,38681,11292,21352,971,,
86000US91340,91340,,,20468,1085,22345,2035,17435,4717,40185,28694,19026,1349,,
86000US91342,91342,,,23083,827,22337,1488,31308,3044,22679,8524,22416,810,,
86000US91343,91343,,,22045,856,23716,2308,32410,2830,39950,23167,19635,782,,
86000US91344,91344,,,31003,1566,29335,3920,35819,3198,49375,63018,29106,3811,,
86000US91345,91345,,,26438,1247,27076,3330,34609,5198,13661,19253,24612,2399,,
86000US91352,91352,,,20401,773,18667,2158,30208,7339,37750,33866,20193,947,,
86000US91356,91356,,,33953,2884,28611,5107,45589,3864,33958,29715,30614,6362,,
86000US91364,91364,,,42628,2774,42027,3494,50719,6796,103409,62162,36639,2727,,
86000US91367,91367,,,44314,3022,39448,3701,53127,3436,21964,7587,46173,4534,,
86000US91371,91371,,,0,0,0,0,0,0,0,0,0,0,,
86000US91401,91401,,,23575,1298,24528,2217,37223,3664,25395,11772,19172,1326,,
86000US91402,91402,,,18537,713,16513,1477,20595,5268,20507,7951,18884,744,,
86000US91403,91403,,,42963,2908,40377,4180,55050,4224,49688,10225,34744,4545,,
86000US91405,91405,,,19103,900,17205,2152,30225,5413,22056,8752,18081,929,,
86000US91406,91406,,,22518,1228,25727,1555,32579,5294,28929,26124,18731,1946,,
86000US91411,91411,,,22996,1975,23990,3913,33371,4157,37850,18882,19628,1886,,
86000US91423,91423,,,43672,2227,42202,2462,50098,3494,72969,43874,35231,3730,,
86000US91436,91436,,,61464,5405,60726,9805,66535,10633,75329,64157,57949,16131,,
86000US91501,91501,,,28912,3137,31009,4627,31189,6826,44375,33840,26158,4180,,
86000US91504,91504,,,33730,2440,34057,4102,45074,6379,48667,38622,28765,3513,,
86000US91505,91505,,,40243,2049,40691,4312,43396,2266,42738,20748,35726,3749,,
86000US91506,91506,,,38298,3582,33914,6027,44300,10445,69545,43300,30886,9383,,
86000US91601,91601,,,25933,1242,29615,4240,35000,3599,42778,38843,20425,1545,,
86000US91602,91602,,,39311,4016,38308,8387,42051,4924,21250,5192,34952,9553,,
86000US91604,91604,,,53286,2403,51823,3184,54082,3982,43875,71451,54848,10706,,
86000US91605,91605,,,18783,729,16411,1231,23005,2229,20000,15190,19032,945,,
86000US91606,91606,,,20210,917,18300,2069,28314,3414,24048,13684,18694,1303,,
86000US91607,91607,,,30460,1833,31073,3101,35550,2955,34207,23923,24379,2999,,
86000US91608,91608,,,0,0,0,0,0,0,0,0,0,0,,
86000US91754,91754,,,25290,1694,32579,3097,27365,6942,20250,16695,21903,2081,,
86000US91801,91801,,,24393,1601,29452,3408,33409,6710,29722,13240,20905,1157,,
86000US91803,91803,,,23971,1446,26699,2891,28398,7563,45714,29712,21134,1407,,
86000US93063,93063,,,35657,1630,34328,2296,41769,1958,32500,12806,31813,3093,,
